iter	Passed	Remaining
208	434	1643
209	435	1637
210	436	1631
211	437	1626
212	439	1622
213	440	1618
214	441	1613
215	444	1613
216	447	1614
217	448	1608
218	449	1602
219	450	1596
220	451	1590
221	452	1585
222	453	1579
223	454	1574
224	455	1569
225	457	1565
226	460	1568
227	461	1563
228	463	1559
229	464	1556
230	466	1553
231	467	1548
232	468	1543
233	470	1538
234	472	1538
235	474	1534
236	476	1534
237	477	1530
238	478	1524
239	479	1519
240	480	1514
241	481	1509
242	482	1503
243	483	1498
244	484	1494
245	486	1490
246	488	1489
247	489	1484
248	490	1479
249	491	1475
250	492	1470
251	493	1465
252	494	1460
253	495	1455
254	497	1453
255	498	1449
256	500	1447
257	503	1448
258	505	1445
259	507	1445
260	509	1441
261	510	1437
262	511	1432
263	512	1429
264	513	1425
265	515	1422
266	517	1421
267	518	1417
268	519	1412
269	520	1408
270	521	1403
271	522	1399
272	523	1395
273	524	1390
274	525	1386
275	526	1382
276	527	1378
277	529	1373
278	530	1371
279	532	1368
280	533	1364
281	534	1359
282	534	1355
283	536	1351
284	537	1347
285	538	1344
286	539	1340
287	541	1337
288	542	1334
289	543	1330
290	544	1326
291	547	1326
292	549	1326
293	551	1323
294	552	1320
295	554	1318
296	555	1314
297	556	1310
298	557	1306
299	558	1302
300	562	1306
301	564	1305
302	566	1303
303	567	1300
304	568	1296
305	569	1292
306	570	1288
307	571	1284
308	573	1281
309	574	1279
310	576	1277
311	577	1273
312	578	1269
313	579	1266
314	580	1262
315	581	1258
316	582	1255
317	583	1251
318	584	1248
319	585	1244
320	586	1241
321	587	1237
322	588	1233
323	589	1230
324	590	1226
325	591	1223
326	592	1219
327	593	1216
328	594	1213
329	595	1209
330	596	1206
331	597	1202
332	598	1199
333	599	1195
334	600	1192
335	601	1188
336	602	1185
337	603	1182
338	604	1179
339	605	1176
340	606	1172
341	607	1169
342	608	1166
343	610	1163
344	611	1161
345	612	1158
346	614	1155
347	615	1152
348	615	1148
349	616	1145
350	617	1142
351	618	1139
352	620	1136
353	621	1133
354	622	1130
355	622	1126
356	623	1123
357	624	1120
358	625	1117
359	626	1114
360	627	1111
361	628	1108
362	629	1105
363	632	1104
364	636	1107
365	638	1105
366	639	1103
367	641	1101
368	643	1100
369	644	1097
370	645	1095
371	646	1091
372	648	1089
373	650	1088
374	651	1085
375	652	1082
376	653	1079
377	654	1077
378	655	1074
379	656	1071
380	657	1068
381	658	1066
382	660	1063
383	661	1060
384	662	1058
385	663	1055
386	665	1053
387	666	1050
388	667	1048
389	668	1045
390	669	1042
391	670	1040
392	671	1037
393	672	1034
394	673	1031
395	674	1029
396	676	1026
397	677	1024
398	680	1025
399	682	1024
400	683	1021
401	685	1019
402	688	1020
403	690	1018
404	691	1015
405	692	1013
406	694	1011
407	695	1008
408	696	1006
409	697	1003
410	699	1001
411	701	1001
412	702	999
413	704	996
414	705	994
415	706	992
416	709	991
417	710	989
418	712	987
419	713	984
420	714	982
421	715	979
422	716	977
423	717	974
424	718	971
425	719	969
426	720	966
427	721	964
428	722	962
429	725	961
430	726	958
431	727	956
432	728	953
433	729	950
434	729	948
435	730	945
436	731	942
437	732	940
438	733	937
439	734	935
440	735	932
441	736	929
442	738	928
443	739	926
444	740	923
445	741	921
446	742	918
447	743	916
448	744	913
449	745	911
450	746	908
451	747	905
452	748	903
453	749	900
454	750	898
455	751	896
456	752	894
457	754	892
458	755	890
459	756	887
460	757	885
461	758	882
462	758	880
463	759	877
464	760	875
465	761	873
466	762	870
467	763	868
468	764	865
469	765	863
470	766	861
471	768	859
472	769	857
473	770	854
474	771	852
475	772	849
476	772	847
477	773	845
478	774	842
479	775	840
480	776	838
481	777	835
482	778	833
483	779	831
484	780	828
485	781	826
486	783	825
487	784	822
488	785	820
489	785	818
490	786	815
491	787	813
492	788	811
493	789	808
494	790	806
495	791	804
496	792	802
497	793	800
498	795	798
499	798	798
500	801	798
501	803	796
502	804	795
503	806	793
504	807	791
505	809	789
506	810	788
507	813	787
508	814	785
509	816	784
510	817	782
511	819	780
512	820	778
513	821	777
514	823	775
515	824	773
516	826	771
517	828	770
518	829	769
519	831	767
520	832	765
521	834	763
522	835	762
523	836	760
524	838	758
525	839	756
526	842	755
527	843	754
528	845	752
529	846	750
530	848	749
531	849	747
532	850	745
533	855	746
534	857	745
535	858	743
536	860	741
537	861	739
538	862	737
539	863	735
540	864	733
541	865	731
542	866	729
543	867	727
544	868	725
545	869	722
546	870	720
547	871	719
548	873	717
549	874	715
550	875	713
551	876	711
552	878	709
553	880	708
554	881	706
555	882	705
556	884	703
557	885	701
558	887	700
559	888	698
560	890	696
561	891	695
562	893	693
563	894	691
564	895	689
565	896	687
566	897	685
567	898	683
568	899	681
569	900	679
570	901	677
571	902	675
572	903	673
573	904	671
574	905	669
575	906	667
576	907	665
577	908	663
578	909	661
579	910	659
580	911	657
581	912	655
582	913	653
583	914	651
584	914	649
585	916	647
586	917	645
587	918	643
588	919	641
589	920	639
590	920	637
591	922	635
592	922	633
593	923	631
594	924	629
595	925	627
596	926	625
597	927	623
598	928	621
599	929	619
600	930	617
601	931	616
602	932	614
603	933	612
604	934	610
605	935	608
606	936	606
607	937	604
608	938	602
609	939	600
610	940	598
611	941	596
612	942	594
613	943	593
614	944	591
615	945	589
616	946	587
617	947	585
618	948	583
619	950	582
620	950	580
621	951	578
622	952	576
623	953	574
624	954	572
625	955	571
626	956	569
627	957	567
628	958	565
629	959	563
630	960	561
631	962	560
632	963	558
633	964	556
634	965	554
635	966	553
636	967	551
637	968	549
638	970	548
639	971	546
640	972	544
641	973	542
642	974	540
643	975	539
644	976	537
645	977	535
646	978	533
647	979	531
648	980	530
649	981	528
650	982	526
651	982	524
652	983	522
653	984	521
654	985	519
655	986	517
656	987	515
657	988	513
658	990	512
659	991	510
660	992	509
661	993	507
662	994	505
663	996	504
664	997	502
665	998	500
666	999	499
667	1000	497
668	1001	495
669	1002	493
670	1003	492
671	1004	490
672	1006	488
673	1007	487
674	1008	485
675	1010	484
676	1011	482
677	1012	480
678	1013	479
679	1014	477
680	1015	475
681	1016	474
682	1017	472
683	1018	470
684	1020	469
685	1021	467
686	1023	466
687	1024	464
688	1025	463
689	1027	461
690	1028	459
691	1029	458
692	1030	456
693	1031	454
694	1032	453
695	1033	451
696	1037	450
697	1039	449
698	1040	447
699	1041	446
700	1041	444
701	1043	442
702	1044	441
703	1045	439
704	1045	437
705	1046	435
706	1048	434
707	1049	432
708	1051	431
709	1052	429
710	1052	427
711	1054	426
712	1055	424
713	1056	423
714	1058	421
715	1059	420
716	1060	418
717	1061	416
718	1062	415
719	1063	413
720	1065	412
721	1067	411
722	1068	409
723	1069	407
724	1070	406
725	1071	404
726	1073	402
727	1074	401
728	1075	399
729	1076	398
730	1077	396
731	1078	394
732	1080	393
733	1082	392
734	1083	390
735	1084	389
736	1085	387
737	1087	385
738	1088	384
739	1089	382
740	1090	381
741	1091	379
742	1092	377
743	1094	376
744	1095	375
745	1097	373
746	1098	372
747	1099	370
748	1100	368
749	1101	367
750	1102	365
751	1103	363
752	1104	362
753	1105	360
754	1106	359
755	1107	357
756	1109	356
757	1111	354
758	1112	353
759	1113	351
760	1114	349
761	1114	348
762	1115	346
763	1116	345
764	1117	343
765	1119	341
766	1119	340
767	1120	338
768	1121	337
769	1124	335
770	1125	334
771	1126	332
772	1127	331
773	1128	329
774	1129	327
775	1130	326
776	1131	324
777	1132	323
778	1133	321
779	1133	319
780	1134	318
781	1135	316
782	1137	315
783	1139	313
784	1140	312
785	1141	310
786	1142	309
787	1143	307
788	1144	306
789	1145	304
790	1147	303
791	1148	301
792	1149	300
793	1150	298
794	1151	297
795	1153	295
796	1154	294
797	1155	292
798	1156	291
799	1158	289
800	1159	288
801	1161	286
802	1162	285
803	1163	283
804	1164	282
805	1165	280
806	1166	279
807	1169	277
808	1170	276
809	1171	274
810	1172	273
811	1174	271
812	1175	270
813	1176	268
814	1176	267
815	1178	265
816	1179	264
817	1180	262
818	1181	261
819	1183	259
820	1185	258
821	1186	256
822	1187	255
823	1188	253
824	1189	252
825	1190	250
826	1191	249
827	1192	247
828	1193	246
829	1194	244
830	1195	243
831	1198	242
832	1199	240
833	1200	239
834	1201	237
835	1203	236
836	1204	234
837	1205	233
838	1206	231
839	1207	230
840	1209	228
841	1211	227
842	1214	226
843	1215	224
844	1216	223
845	1217	221
846	1218	220
847	1220	218
848	1220	217
849	1221	215
850	1223	214
851	1224	212
852	1225	211
853	1227	209
854	1228	208
855	1229	206
856	1230	205
857	1231	203
858	1232	202
859	1233	200
860	1234	199
861	1235	197
862	1236	196
863	1237	194
864	1239	193
865	1241	192
866	1242	190
867	1244	189
868	1246	187
869	1246	186
870	1247	184
871	1248	183
872	1249	181
873	1251	180
874	1252	178
875	1253	177
876	1256	176
877	1257	174
878	1259	173
879	1260	171
880	1261	170
881	1263	168
882	1264	167
883	1265	166
884	1266	164
885	1267	163
886	1268	161
887	1270	160
888	1273	158
889	1274	157
890	1275	156
891	1276	154
892	1277	153
893	1278	151
894	1279	150
895	1280	148
896	1281	147
897	1282	145
898	1284	144
899	1286	142
900	1289	141
901	1290	140
902	1291	138
903	1292	137
904	1293	135
905	1295	134
906	1296	132
907	1296	131
908	1298	129
909	1299	128
910	1300	127
911	1302	125
912	1304	124
913	1306	122
914	1308	121
915	1309	120
916	1310	118
917	1311	117
918	1312	115
919	1314	114
920	1316	112
921	1317	111
922	1319	110
923	1320	108
924	1321	107
925	1322	105
926	1323	104
927	1324	102
928	1325	101
929	1326	99
930	1327	98
931	1329	97
932	1332	95
933	1333	94
934	1334	92
935	1336	91
936	1337	89
937	1338	88
938	1339	86
939	1340	85
940	1341	84
941	1342	82
942	1344	81
943	1346	79
944	1348	78
945	1349	77
946	1350	75
947	1351	74
948	1352	72
949	1353	71
950	1354	69
951	1355	68
952	1356	66
953	1357	65
954	1360	64
955	1362	62
956	1363	61
957	1364	59
958	1366	58
959	1366	56
960	1368	55
961	1369	54
962	1370	52
963	1371	51
964	1372	49
965	1376	48
966	1377	47
967	1378	45
968	1379	44
969	1380	42
970	1381	41
971	1382	39
972	1383	38
973	1384	36
974	1385	35
975	1386	34
976	1390	32
977	1392	31
978	1392	29
979	1393	28
980	1394	27
981	1395	25
982	1396	24
983	1397	22
984	1398	21
985	1399	19
986	1400	18
987	1401	17
988	1402	15
989	1405	14
990	1406	12
991	1407	11
992	1408	9
993	1409	8
994	1410	7
995	1411	5
996	1412	4
997	1413	2
998	1414	1
999	1415	0
